LEAGUE,YEAR,TO REPUBLICANS,TO DEMOCRATS
MLB,2016,70.53140097,26.8115942
MLB,2018,61.11111111,27.29468599
MLB,2020,84.29951691,12.56038647
NASCAR,2016,80.9178744,12.56038647
NASCAR,2018,76.8115942,15.70048309
NASCAR,2020,75.84541063,7.487922705
NBA,2016,72.70531401,25.84541063
NBA,2018,55.55555556,22.70531401
NBA,2020,82.85024155,14.73429952
NFL,2016,76.02905569,13.80145278
NFL,2018,73.60774818,12.59079903
NFL,2020,76.99757869,12.10653753
NHL,2016,75.30266344,20.0968523
NHL,2018,77.72397094,18.6440678
NHL,2020,80.3874092,16.22276029
WNBA,2016,16.46489104,76.99757869
WNBA,2018,44.79418886,47.94188862
WNBA,2020,65.37530266,27.84503632
